n_per_class,scenario,train_size,test_accuracy,train_time_sec,apple_f1,banana_f1,orange_f1
100,real,300,0.9858,23.6,0.9782,0.984,0.9949
100,synth,300,0.9316,19.7,0.892,0.9481,0.9516
100,both,600,0.9898,31.3,0.9845,0.987,0.998
200,real,600,0.9925,30.9,0.9887,0.9909,0.998
200,synth,600,0.9072,31.4,0.8694,0.8718,0.9781
200,both,1200,0.9878,54.1,0.9817,0.9857,0.996
400,real,1200,0.9837,53.0,0.976,0.9772,0.998
400,synth,1200,0.8537,53.2,0.8144,0.7711,0.9659
400,both,2400,0.9966,98.9,0.9949,0.999,0.996
800,real,2400,0.9993,98.0,0.999,1.0,0.999
800,synth,2400,0.8943,97.9,0.8601,0.8812,0.9438
800,both,4800,0.9993,188.0,0.999,1.0,0.999
1300,real,3900,0.9993,155.1,0.999,1.0,0.999
1300,synth,3900,0.6958,154.3,0.6753,0.6936,0.7332
1300,both,7800,0.9986,308.6,0.998,1.0,0.998
